TradeDate,Open,High,Low,ClosePrice,Volume,Ticker,Pct_Change,MA20,MA_Volume_30,RSI_14,Market_Regime
2025-01-02,20.25,20.27,20.15,20.27,1342352,VIC,0.0,20.4,1875514.9,45.41,SIDEWAY_NOISE
2025-01-03,20.27,20.27,20.08,20.25,1731685,VIC,-0.1,20.39,1866793.43,44.52,SIDEWAY_NOISE
2025-01-06,20.2,20.25,20.15,20.25,1627059,VIC,0.0,20.36,1876392.53,44.52,SIDEWAY_NOISE
2025-01-07,20.15,20.27,20.1,20.25,1967014,VIC,0.0,20.32,1878049.97,44.52,SIDEWAY_NOISE
2025-01-08,20.2,20.27,20.15,20.25,927236,VIC,0.0,20.31,1867854.2,44.52,SIDEWAY_NOISE
2025-01-09,20.27,20.5,20.25,20.38,1189358,VIC,0.64,20.29,1874380.13,52.7,SIDEWAY_NOISE
2025-01-10,20.38,20.45,20.2,20.25,1106026,VIC,-0.64,20.28,1873959.3,45.48,SIDEWAY_NOISE
2025-01-13,19.85,20.18,19.85,20.15,1682762,VIC,-0.49,20.27,1864456.43,40.84,SIDEWAY_NOISE
2025-01-14,20.1,20.1,19.9,20.1,2327929,VIC,-0.25,20.26,1873127.33,38.71,SIDEWAY_NOISE
2025-01-15,20.15,20.18,20.0,20.12,875300,VIC,0.1,20.25,1839800.6,40.06,SIDEWAY_NOISE
2025-01-16,20.15,20.32,20.05,20.23,2001576,VIC,0.55,20.25,1823332.37,46.95,SIDEWAY_NOISE
2025-01-17,20.25,20.27,20.12,20.23,1174622,VIC,0.0,20.25,1750070.87,46.95,SIDEWAY_NOISE
2025-01-20,20.15,20.23,20.12,20.2,647933,VIC,-0.15,20.25,1593887.33,45.3,SIDEWAY_NOISE
2025-01-21,20.27,20.27,20.15,20.23,1314921,VIC,0.15,20.25,1526096.43,47.29,SIDEWAY_NOISE
2025-01-22,20.25,20.25,20.05,20.2,1136198,VIC,-0.15,20.24,1485425.77,45.51,SIDEWAY_NOISE
2025-01-23,20.2,20.32,20.12,20.2,1421586,VIC,0.0,20.23,1460432.83,45.51,SIDEWAY_NOISE
2025-01-24,20.12,20.25,20.1,20.2,1389220,VIC,0.0,20.23,1435079.83,45.51,SIDEWAY_NOISE
2025-02-03,20.1,20.15,19.95,20.02,1576949,VIC,-0.89,20.22,1422520.1,35.48,SIDEWAY_NOISE
2025-02-04,20.02,20.1,19.92,20.05,1441966,VIC,0.15,20.21,1431874.3,37.93,SIDEWAY_NOISE
2025-02-05,20.1,20.23,20.02,20.02,1060865,VIC,-0.15,20.19,1422834.47,36.44,SIDEWAY_NOISE
2025-02-06,20.18,20.27,20.02,20.23,1315728,VIC,1.05,20.19,1438270.1,50.99,SIDEWAY_NOISE
2025-02-07,20.25,20.35,20.12,20.32,1396794,VIC,0.44,20.19,1401834.83,55.67,SIDEWAY_NOISE
2025-02-10,20.18,20.18,20.0,20.0,1535989,VIC,-1.57,20.18,1400666.67,40.76,SIDEWAY_NOISE
2025-02-11,20.0,20.05,19.92,19.98,1437497,VIC,-0.1,20.17,1415185.83,40.04,SIDEWAY_NOISE
2025-02-12,19.98,20.05,19.95,19.95,941811,VIC,-0.15,20.15,1402049.73,38.92,SIDEWAY_NOISE
2025-02-13,19.95,20.15,19.92,20.12,1054069,VIC,0.85,20.14,1373524.93,47.79,SIDEWAY_NOISE
2025-02-14,20.25,20.25,20.1,20.12,997968,VIC,0.0,20.13,1377480.97,47.79,SIDEWAY_NOISE
2025-02-17,20.12,20.2,20.02,20.05,854266,VIC,-0.35,20.13,1355983.7,44.69,SIDEWAY_NOISE
2025-02-18,20.05,20.23,19.95,20.1,1201387,VIC,0.25,20.13,1348803.23,47.31,SIDEWAY_NOISE
2025-02-19,20.1,20.25,20.02,20.2,1576073,VIC,0.5,20.13,1341804.63,52.2,SIDEWAY_NOISE
2025-02-20,20.23,20.62,20.2,20.48,2940145,VIC,1.39,20.14,1395064.4,62.65,SIDEWAY_NOISE
2025-02-21,20.48,20.48,20.32,20.32,1334242,VIC,-0.78,20.15,1381816.3,55.22,SIDEWAY_NOISE
2025-02-24,20.18,20.32,20.18,20.3,1541441,VIC,-0.1,20.15,1378962.37,54.35,SIDEWAY_ACCUMULATION
2025-02-25,20.35,20.58,20.32,20.35,1794644,VIC,0.25,20.16,1373216.7,56.21,SIDEWAY_ACCUMULATION
2025-02-26,20.5,20.55,20.4,20.5,1367140,VIC,0.74,20.18,1387880.17,61.28,SIDEWAY_ACCUMULATION
2025-02-27,20.6,20.6,20.38,20.52,1442755,VIC,0.1,20.19,1396326.73,61.92,SIDEWAY_ACCUMULATION
2025-02-28,20.52,20.8,20.35,20.6,2774026,VIC,0.39,20.21,1451926.73,64.43,SIDEWAY_ACCUMULATION
2025-03-03,20.65,21.2,20.6,21.02,2861892,VIC,2.04,20.26,1491231.07,74.08,EXPLOSION
2025-03-04,21.22,21.25,20.9,20.98,3059982,VIC,-0.19,20.31,1515632.83,72.07,SIDEWAY_ACCUMULATION
2025-03-05,21.02,21.25,21.0,21.12,2910342,VIC,0.67,20.36,1583467.57,74.66,SIDEWAY_ACCUMULATION
2025-03-06,21.15,21.28,21.02,21.18,2631008,VIC,0.28,20.41,1604448.63,75.7,SIDEWAY_ACCUMULATION
